央视频道,#genre#
重庆卫视,http://121.24.98.104:8090/hls/78/index.m3u8
浙江卫视,http://121.24.98.104:8090/hls/79/index.m3u8
海南旅游,http://121.24.98.104:8090/hls/80/index.m3u8
安徽卫视,http://121.24.98.104:8090/hls/81/index.m3u8
广东卫视,http://121.24.98.104:8090/hls/82/index.m3u8
卡酷动画,http://121.24.98.104:8090/hls/83/index.m3u8
深圳卫视,http://121.24.98.104:8090/hls/84/index.m3u8
广西卫视,http://121.24.98.104:8090/hls/85/index.m3u8
陕西卫视,http://121.24.98.104:8090/hls/86/index.m3u8



四川卫视,http://118.114.96.161:8889/udp/239.93.0.169:5140
四川卫视,http://118.114.96.161:8889/udp/239.93.1.188:5140
凤凰中文,http://118.114.96.161:8889/udp/239.93.0.162:2192
凤凰中文,http://118.114.96.161:8889/udp/239.93.1.9:2192
凤凰资讯,http://118.114.96.161:8889/udp/239.93.0.118:2191
凤凰资讯,http://118.114.96.161:8889/udp/239.93.1.4:2191
星空,http://118.114.96.161:8889/udp/239.93.0.156:2193
星空,http://118.114.96.161:8889/udp/239.93.1.10:2193
四川卫视,http://118.114.96.161:8889/udp/239.93.0.20:1235
湖南卫视,http://118.114.96.161:8889/udp/239.93.0.88:5140
江苏卫视,http://118.114.96.161:8889/udp/239.93.0.89:5140
浙江卫视,http://118.114.96.161:8889/udp/239.93.0.124:5140
东方卫视,http://118.114.96.161:8889/udp/239.93.0.123:5140
北京卫视,http://118.114.96.161:8889/udp/239.93.0.180:5140
深圳卫视,http://118.114.96.161:8889/udp/239.93.0.182:5140
广东卫视,http://118.114.96.161:8889/udp/239.93.0.181:5140
天津卫视,http://118.114.96.161:8889/udp/239.93.0.167:5140
山东卫视,http://118.114.96.161:8889/udp/239.93.0.168:5140
康巴卫视,http://118.114.96.161:8889/udp/239.93.0.41:5140
江西卫视,http://118.114.96.161:8889/udp/239.93.0.134:5140
东南卫视,http://118.114.96.161:8889/udp/239.93.0.42:5140
黑龙江卫视,http://118.114.96.161:8889/udp/239.93.0.183:5140
重庆卫视,http://118.114.96.161:8889/udp/239.93.1.107:5140
贵州卫视,http://118.114.96.161:8889/udp/239.93.0.131:5140
湖北卫视,http://118.114.96.161:8889/udp/239.93.0.250:5140
安徽卫视,http://118.114.96.161:8889/udp/239.93.1.106:5140
河北卫视,http://118.114.96.161:8889/udp/239.93.0.132:5140
辽宁卫视,http://118.114.96.161:8889/udp/239.93.1.108:5140
云南卫视,http://118.114.96.161:8889/udp/239.93.1.174:5140
河南卫视,http://118.114.96.161:8889/udp/239.93.42.45:5140
广西卫视,http://118.114.96.161:8889/udp/239.93.42.46:5140
云南卫视,http://118.114.96.161:8889/udp/239.93.0.174:5140
吉林卫视,http://118.114.96.161:8889/udp/239.93.0.248:5140
陕西卫视,http://118.114.96.161:8889/udp/239.93.0.176:5140
山西卫视,http://118.114.96.161:8889/udp/239.93.0.6:5140
内蒙古卫视,http://118.114.96.161:8889/udp/239.93.0.8:5140
青海卫视,http://118.114.96.161:8889/udp/239.93.0.192:5140
宁夏卫视,http://118.114.96.161:8889/udp/239.93.0.247:5140
西藏卫视,http://118.114.96.161:8889/udp/239.93.0.175:5140
新疆卫视,http://118.114.96.161:8889/udp/239.93.0.194:5140
甘肃卫视,http://118.114.96.161:8889/udp/239.93.0.81:5140
海南卫视,http://118.114.96.161:8889/udp/239.93.0.80:5140
陕西农林,http://118.114.96.161:8889/udp/239.93.0.100:5140
兵团卫视,http://118.114.96.161:8889/udp/239.93.42.43:5140
山东教育卫视,http://118.114.96.161:8889/udp/239.93.1.196:5140
山西卫视,http://118.114.96.161:8889/udp/239.93.0.6:5140
内蒙古卫视,http://118.114.96.161:8889/udp/239.93.0.8:5140
青海卫视,http://118.114.96.161:8889/udp/239.93.0.192:5140
宁夏卫视,http://118.114.96.161:8889/udp/239.93.0.247:5140
西藏卫视,http://118.114.96.161:8889/udp/239.93.0.175:5140
新疆卫视,http://118.114.96.161:8889/udp/239.93.0.194:5140
甘肃卫视,http://118.114.96.161:8889/udp/239.93.0.81:5140
海南卫视,http://118.114.96.161:8889/udp/239.93.0.80:5140
陕西农林,http://118.114.96.161:8889/udp/239.93.0.100:5140
兵团卫视,http://118.114.96.161:8889/udp/239.93.42.43:5140
峨眉电影,http://118.114.96.161:8889/udp/239.93.0.252:5140
厦门卫视,http://118.114.96.161:8889/udp/239.93.42.57:5140
三沙卫视,http://118.114.96.161:8889/udp/239.93.42.58:5140
山东教育卫视,http://118.114.96.161:8889/udp/239.93.1.196:5140
卡酷动画,http://118.114.96.161:8889/udp/239.93.0.208:5140
金鹰卡通,http://118.114.96.161:8889/udp/239.93.0.108:5140
优漫卡通,http://118.114.96.161:8889/udp/239.93.0.251:5140

上海东方卫视,http://cyz32.livehbindex.hbcatv.cn/live/500000203860417eb7f08f9270fc1155.m3u8?bitrate=2300&pt=5
福建东南卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020c18c4f03a2107aa78ced8fff.m3u8?bitrate=2300&pt=5
北京卡酷少儿,http://cyz32.livehbindex.hbcatv.cn/live/500000203cd4401ea738b3bc79d39dfa.m3u8?bitrate=2300&pt=5
黑龙江卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020281749ed995f2824759051fa.m3u8?bitrate=2300&pt=5
内蒙古卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020eeba44449d4f4913a2897e4e.m3u8?bitrate=2300&pt=5
新疆卫视,http://cyz32.livehbindex.hbcatv.cn/live/500000201e484cbeb064a31201e3dd05.m3u8?bitrate=2300&pt=5
河北公共,http://cyz32.livehbindex.hbcatv.cn/live/50000020f9834d34b527dec2d5ad8bb5.m3u8?bitrate=2300&pt=5
海南卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020741c4046820cd89d5ecbd401.m3u8?bitrate=2300&pt=5
湖南卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020c9ea4ce4bf3cfbbb7f8b8bb7.m3u8?bitrate=2300&pt=5
云南卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020a2f74b03928347fb0b02768b.m3u8?bitrate=2300&pt=5
浙江卫视,http://cyz32.livehbindex.hbcatv.cn/live/5000002045414da0bcca7fb08fd34c8a.m3u8?bitrate=2300&pt=5
安徽卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020d0ab40578faaa8a023ce4d5c.m3u8?bitrate=2300&pt=5
河北都市,http://cyz32.livehbindex.hbcatv.cn/live/50000020072541118d32f3491df3fd31.m3u8?bitrate=2300&pt=5
贵州卫视,http://cyz32.livehbindex.hbcatv.cn/live/500000204b974d7f8ca5b13562b2d820.m3u8?bitrate=2300&pt=5
广东卫视,http://cyz32.livehbindex.hbcatv.cn/live/500000206bc6413cb38dc9ca586ffe3f.m3u8?bitrate=2300&pt=5
